ahn	gen	id	mh	name	sex	born	born_place	died	died_place	cause	burial	occupation	spouses	living	n_notes	sources
		@I502856@	MH:I502856	Conyers (of Hornby Castle) D'arcy	M	27 AUG 1570	Hornby Castle, Yorkshire, England	3 MAR 1653	Hornby Castle, Yorkshire, England		Hornby, Yorkshire, England	"7th Lord Darcy Knayth, 4th Baron Conyers, of ""Hornby"", Sir"	Dorothy Bellasyse (m. 2 MAY 1594)		0	WikiTree — https://www.myheritage.com/research/record-10109-1602956/conyers-darcy-in-wikitree
		@I502887@	MH:I502887	Margaret D'Arcy	F	ABT 1594	Hornby, Yorkshire, England	1668							0	Defranceski Family Site (23andMe) — https://www.myheritage.com/person-1503133_OYYV6KV5GUX3TNTGI6PZ64PSWO3Q2TY_OYYV6KV5GUX3TNTGI6PZ64PSWO3Q2TY/margaret-darcy
		@I502888@	MH:I502888	Dorothy D'Arcy	F	ABT 1597	Hornby, Yorkshire, England	1666	Sedbury, Yorkshire, England						0	Defranceski Family Site (23andMe) — https://www.myheritage.com/person-1503129_OYYV6KV5GUX3TNTGI6PZ64PSWO3Q2TY_OYYV6KV5GUX3TNTGI6PZ64PSWO3Q2TY/dorothy-dalton-born-darcy | Defranceski Family Site (23andMe) — https://www.myheritage.com/person-3500392_OYYV7QHLL234NMVMJDEPCGHPZRDFDCQ_OYYV7QHLL234NMVMJDEPCGHPZRDFDCQ/dorothy-conyers-dalton-born-darcy | Defranceski Family Site (23andMe) — https://www.myheritage.com/person-1504799_OYYV7G2DLILX2HVX7UGI7YR76BNGVHA_OYYV7G2DLILX2HVX7UGI7YR76BNGVHA/dorothy-conyers-hutton-born-darcy
		@I502855@	MH:I502855	Conyers 1st Earl of Holderness 8th Lord Darcy de Knayth 5th Lord Conyers D'arcy	M	24 JAN 1598	Hornby Castle, North Riding, Yorkshire, England	14 JUN 1689	Hornby Castle, North Riding, Yorkshire, England		Hornby, Richmondshire District, North Yorkshire, England	Earl of Holdernesse ( 1st	Grace Rokeby (m. 14 OCT 1616)		0	Defranceski Family Site (23andMe) — https://www.myheritage.com/person-1500133_OYYV7FPFU44MFTURIADGVLEWQW2LDOI_OYYV7FPFU44MFTURIADGVLEWQW2LDOI/conyers-1st-earl-of-holderness-8th-lord-darcy-de-knayth | Defranceski Family Site (23andMe) — https://www.myheritage.com/person-1000745_OYYV6KV5GUX3TNTGI6PZ64PSWO3Q2TY_OYYV6KV5GUX3TNTGI6PZ64PSWO3Q2TY/conyers-darcy-1st-earl-of-holderness-8th-lord-darcy-de | Defranceski Family Site (23andMe) — https://www.myheritage.com/person-3500469_OYYV7QHLL234NMVMJDEPCGHPZRDFDCQ_OYYV7QHLL234NMVMJDEPCGHPZRDFDCQ/lord-conyers-holderness-darcy | Defranceski Family Site (23andMe) — https://www.myheritage.com/person-1504220_OYYV7G2DLILX2HVX7UGI7YR76BNGVHA_OYYV7G2DLILX2HVX7UGI7YR76BNGVHA/lord-conyers-holderness-darcy-1st-earl-of-holderness-8th-lord
		@I502891@	MH:I502891	Barbara Conyers D'Arcy	F	3 MAY 1600	Hornby, West Riding, Yorkshire, England	31 MAR 1696	St. Olaves, Yorkshire, England		Hornby Castle, York, England, Great Britain				0	Defranceski Family Site (23andMe) — https://www.myheritage.com/person-1503127_OYYV6KV5GUX3TNTGI6PZ64PSWO3Q2TY_OYYV6KV5GUX3TNTGI6PZ64PSWO3Q2TY/barbara-conyers-hutton-born-darcy
		@I502893@	MH:I502893	Isabel D'Arcy	F	ABT 1609	Hornby, North Riding, Yorkshire, England								0	Defranceski Family Site (23andMe) — https://www.myheritage.com/person-1503132_OYYV6KV5GUX3TNTGI6PZ64PSWO3Q2TY_OYYV6KV5GUX3TNTGI6PZ64PSWO3Q2TY/isabel-darcy
		@I502899@	MH:I502899	Elizabeth D'Arcy	F	1610	Hornby Castle, nr Bedale, Yorkshire, England	1729	England						0	Defranceski Family Site (23andMe) — https://www.myheritage.com/person-1503130_OYYV6KV5GUX3TNTGI6PZ64PSWO3Q2TY_OYYV6KV5GUX3TNTGI6PZ64PSWO3Q2TY/elizabeth-stapylton-born-darcy
		@I502890@	MH:I502890	Grace D'Arcy	F	1611	Newborough, Yorkshire, England	1680	Kneveton Manor, Nottinghamshire, England						0	Defranceski Family Site (23andMe) — https://www.myheritage.com/person-1503131_OYYV6KV5GUX3TNTGI6PZ64PSWO3Q2TY_OYYV6KV5GUX3TNTGI6PZ64PSWO3Q2TY/grace-best-born-darcy | Defranceski Family Site (23andMe) — https://www.myheritage.com/person-3500387_OYYV7QHLL234NMVMJDEPCGHPZRDFDCQ_OYYV7QHLL234NMVMJDEPCGHPZRDFDCQ/grace-best-born-darcy
		@I502896@	MH:I502896	Philadelphia D'ARCY	F	ABT 1619		1627							0	Defranceski Family Site (23andMe) — https://www.myheritage.com/person-1504364_OYYV6KV5GUX3TNTGI6PZ64PSWO3Q2TY_OYYV6KV5GUX3TNTGI6PZ64PSWO3Q2TY/philadelphia-darcy
		@I502897@	MH:I502897	Edward D'ARCY	M	27 JAN 1620	Hornby Castle, Yorkshire, England	21 DEC 1621	Hornby Castle, Yorkshire, England						0	Defranceski Family Site (23andMe) — https://www.myheritage.com/person-1504365_OYYV6KV5GUX3TNTGI6PZ64PSWO3Q2TY_OYYV6KV5GUX3TNTGI6PZ64PSWO3Q2TY/edward-darcy
